timestamp,phase,gpu_temp_c,gpu_power_w,gpu_util_pct,cpu_temp_c,nvme_temp_c
1776359907,prefill_heavy,71,45.14,95,77,52
1776359908,prefill_heavy,70,43.91,79,77,52
1776359909,prefill_heavy,71,43.64,86,77,52
1776359910,prefill_heavy,71,45.50,77,77,52
1776359912,prefill_heavy,70,45.74,92,77,52
1776359913,prefill_heavy,70,44.94,79,77,52
1776359914,prefill_heavy,71,44.54,76,77,52
1776359915,prefill_heavy,72,45.20,95,77,52
1776359916,prefill_heavy,70,44.92,77,77,52
1776359918,prefill_heavy,70,43.72,78,77,52
1776359919,prefill_heavy,71,44.06,78,76,52
1776359920,prefill_heavy,71,44.80,78,77,52
1776359921,prefill_heavy,70,42.81,77,76,52
1776359922,prefill_heavy,71,44.16,77,76,52
1776359923,prefill_heavy,72,44.68,95,76,52
1776359925,prefill_heavy,71,44.52,95,76,52
1776359926,prefill_heavy,72,44.31,78,76,52
1776359927,prefill_heavy,69,44.71,77,77,52
1776359928,prefill_heavy,69,44.43,78,77,52
1776359929,prefill_heavy,71,43.79,76,76,52
1776359930,prefill_heavy,71,44.14,74,76,52
1776359932,prefill_heavy,71,44.28,95,77,52
1776359933,prefill_heavy,70,43.99,95,76,52
1776359934,prefill_heavy,71,44.48,77,76,52
1776359935,prefill_heavy,71,45.40,79,77,52
1776359936,prefill_heavy,71,45.53,77,77,52
1776359937,prefill_heavy,71,43.80,77,77,52
1776359939,prefill_heavy,69,45.48,95,77,52
1776359940,prefill_heavy,72,44.56,77,76,52
1776359941,prefill_heavy,70,45.33,80,77,52
1776359942,prefill_heavy,68,45.09,78,76,52
1776359943,prefill_heavy,68,43.30,74,76,52
1776359944,prefill_heavy,70,44.75,77,77,52
1776359946,prefill_heavy,71,42.94,79,76,52
1776359947,prefill_heavy,69,44.31,93,76,52
1776359948,prefill_heavy,71,44.42,72,77,52
1776359949,prefill_heavy,71,45.08,95,77,52
1776359950,prefill_heavy,71,44.15,76,76,52
1776359951,prefill_heavy,70,44.27,95,76,52
1776359953,prefill_heavy,70,45.23,95,77,52
1776359954,prefill_heavy,71,43.63,78,76,52
1776359955,prefill_heavy,71,44.43,78,76,52
1776359956,prefill_heavy,69,44.30,78,76,52
1776359957,prefill_heavy,71,44.54,82,76,52
1776359958,prefill_heavy,69,44.23,77,76,52
1776359960,prefill_heavy,71,43.99,95,76,52
1776359961,prefill_heavy,71,45.17,89,76,52
1776359962,prefill_heavy,69,43.72,76,76,52
1776359963,prefill_heavy,71,45.09,95,77,52
1776359964,prefill_heavy,69,43.95,78,76,52
1776359965,prefill_heavy,70,44.41,95,76,52
1776359967,prefill_heavy,71,44.83,79,76,52
1776359968,prefill_heavy,70,42.62,82,76,52
1776359969,prefill_heavy,68,45.09,79,77,52
1776359970,prefill_heavy,70,44.71,80,77,52
1776359971,prefill_heavy,69,44.14,75,76,52
1776359972,prefill_heavy,71,45.38,87,76,52
1776359974,prefill_heavy,71,43.49,76,76,52
1776359975,prefill_heavy,68,45.01,95,76,52
1776359976,prefill_heavy,71,45.88,89,77,52
1776359977,prefill_heavy,71,44.51,78,77,52
1776359978,prefill_heavy,71,44.64,76,76,52
1776359979,prefill_heavy,70,44.44,95,77,52
1776359981,prefill_heavy,71,45.46,77,76,52
1776359982,prefill_heavy,70,43.89,92,76,52
1776359983,prefill_heavy,70,44.35,78,76,52
1776359984,prefill_heavy,68,44.93,79,76,52
1776359985,prefill_heavy,71,44.36,90,76,52
1776359987,prefill_heavy,71,44.59,77,76,52
1776359988,prefill_heavy,69,44.83,95,77,52
1776359989,prefill_heavy,71,44.21,95,77,52
1776359990,prefill_heavy,70,44.25,78,76,52
1776359991,prefill_heavy,71,45.01,95,76,52
1776359992,prefill_heavy,71,43.92,77,76,52
1776359994,prefill_heavy,69,43.25,95,76,52
1776359995,prefill_heavy,71,43.58,79,76,52
1776359996,prefill_heavy,71,44.51,88,76,52
1776359997,prefill_heavy,68,44.41,77,76,52
1776359998,prefill_heavy,71,45.46,95,76,52
1776359999,prefill_heavy,71,43.89,77,76,52
1776360001,prefill_heavy,69,43.86,95,76,52
1776360002,prefill_heavy,71,44.48,80,76,52
1776360003,prefill_heavy,71,43.62,77,77,52
1776360004,prefill_heavy,70,43.68,77,76,52
1776360005,prefill_heavy,70,45.34,76,76,52
1776360007,prefill_heavy,71,44.75,76,76,52
1776360008,prefill_heavy,70,45.49,95,77,52
1776360009,prefill_heavy,71,43.68,95,76,52
1776360010,prefill_heavy,71,45.08,78,77,52
1776360011,prefill_heavy,71,44.71,92,76,52
1776360012,prefill_heavy,71,44.87,76,77,52
1776360014,prefill_heavy,71,44.95,76,77,52
1776360015,prefill_heavy,71,45.92,77,77,52
1776360016,prefill_heavy,71,45.31,95,77,52
1776360017,prefill_heavy,70,43.53,95,77,52
1776360018,prefill_heavy,71,44.60,85,76,52
1776360019,prefill_heavy,71,43.35,79,76,52
1776360021,prefill_heavy,68,44.62,95,76,52
1776360022,prefill_heavy,71,45.31,78,76,52
1776360023,prefill_heavy,70,44.16,77,77,52
1776360024,prefill_heavy,71,44.78,84,76,52
1776360025,prefill_heavy,70,45.58,81,77,52
1776360026,prefill_heavy,71,44.39,76,76,52
1776360028,prefill_heavy,69,43.45,95,76,52
1776360029,prefill_heavy,71,43.94,76,76,52
1776360030,prefill_heavy,70,45.20,79,76,52
1776360031,prefill_heavy,71,43.93,84,76,52
1776360032,prefill_heavy,71,45.02,77,77,52
1776360034,prefill_heavy,69,44.37,77,76,52
1776360035,prefill_heavy,69,44.21,71,76,52
1776360036,prefill_heavy,71,44.20,77,76,52
1776360037,prefill_heavy,70,44.37,75,76,52
